roomid,placeid
Bhuvaneshwari Nagar,ChIJPYWlXr8-rjsRiIWhsvLNrig
Azad Nagar,ChIJ1zE8AgU-rjsRlZpsze_xr90
Laggere,ChIJIxtoJ6g9rjsRJvz69dWozTE
Yeshwanthpur,ChIJj0N-IWQ9rjsRxDxWEhcGs9E
Yemalur,ChIJe3HE4rgTrjsRPGb8ots1bB8
Madiwala,ChIJaay65lgUrjsR7RFSyHzHAh0
Victoria Layout,ChIJ9fjvoS4UrjsRul_4hsX1uJc
Varthur,ChIJ2RwJ4YcNrjsRH5hUcGO8n_k
Kempapura,ChIJkUG6P5QTrjsRU7E3zHscNSg
Srinivasa Nagar,ChIJoXXfRiQ-rjsRiJeIa7CLWxo
Kasturi Nagar,ChIJPZK3lTERrjsRGRr-U4tTV6Q
RT Nagar,ChIJ2UChwroXrjsRRuO3_8_k5x8
Richmond Town,ChIJ06--Y9YVrjsRg91yAhTn0Bk
Richmond Road,ChIJuSFEtioUrjsRCKygw_ln5m0
Nagasandra,ChIJdaAEsMk8rjsRuezw__LxILI
Lingarajapuram,ChIJVxQ1Zd4WrjsRd3WmfnBfuQQ
Lavelle Road,ChIJpUGQsHkWrjsR4cIMRe0GN0E
Langford Town,ChIJM2JjFNIVrjsRhJQzYGy54gY
Langford Road,ChIJX4UaFdEVrjsRud1txvOrjrY
Vijaypura,ChIJBVefklL8sTsRyCv6yIVhd9E
St. Johns Road,ChIJRYjrpY4WrjsRtxZhMYwqHNw
Panathur,ChIJWfLn1FMSrjsRxDle2oyW4Jc
Kammasandra Agrahara,ChIJL33QBqlvrjsREyDuJHCb7t4
GNR Tech park,ChIJ0f6duboUrjsR3tVK9Qvo2WI
Haudin Road,ChIJ3Q7kyIQWrjsRvn56VznHp_g
Gayatri Tech Park,ChIJ_codfiASrjsRJlka83KhikQ
Sarjapur Outer Ring Road,ChIJb2E0HY8UrjsRt2Ogow31b-w
"Electronic City, Phase 1",ChIJZ_hTxoRsrjsR-So1cnwXt6I
"HCL Technologies, Whitefield",ChIJB7QqLPQRrjsRtZflHrPW8XM
Tumkur Road,ChIJ-f7K3xkprjsR2XgCtne3Kz8
Jaya Chamarajendra Nagar,ChIJx1FDAFIWrjsRfKkTmrvQthI
Kadabagere,ChIJe8MJ6K47rjsR2rkLfy4HSkQ
Gandhi Nagar,ChIJLbCt8w8XrjsRMknX1n9FeQQ
Hulimavu,ChIJlWpoKNRqrjsRnkhk-wJHg58
HBR Layout,ChIJe33LDjsXrjsRz6kBCnbnsdQ
Kengeri,ChIJt9ITyTA_rjsRosyJzE7Ju-k
HAL,ChIJBySRbaoWrjsRTBwAtBhrFy4
Cooke Town,ChIJnaEfiuUWrjsRO2mK_rQJYxU
Whitefield,ChIJg_wNXfMRrjsR-RUB2BKlzzA
Sanjay Nagar,ChIJ85O6tekXrjsR13jdBn4Ge-c
RMZ Infinity,ChIJ96nJGDYRrjsREIHbc9Xt6UM
Prestige Tech Park II (Outer Ring Road),ChIJp49AYLETrjsRSciqrDz_ews
Prestige Tech Park I (Outer Ring Road),ChIJMxln3rMTrjsRwV5_ac4DA1k
Marathahalli,ChIJVwkdVbQTrjsRGUkefteUeFk
Manyata Tech Park,ChIJ331OlGEXrjsRrQP8TnDT7oM
H S R Layout,ChIJzW7cv5EUrjsRecj7OYRxMvI
Global Village Tech Park,ChIJueQSMOM-rjsRBIBCAI-AADE
EmbassyTech Village,ChIJZchmNawTrjsRZDTROuQYaZs
CV Raman Nagar,ChIJywiewU8RrjsR6WUvFJFcNvU
Chikkajala,ChIJiQVo_b4erjsRCJR7whFWihU
Belathur,ChIJbU60yXAWrjsR4E9-UejD3_g
Ramamurthy Nagar,ChIJNaJG1iERrjsRT4qAaFTsDr8
Mahadevapura,ChIJ5SJ-v20RrjsRdZfVnCnzPf0
J P Nagar,ChIJK6dJcw0VrjsRRj3d4aE-0PM
Vidyaranyapura,ChIJ4euNep8irjsRrOfHWdLxgE0
Subramanyapura,ChIJOVXP2cE_rjsRCxFdFJVIm5s
Sigma Tech Park,ChIJDQo4uv4NrjsRIhC6L2CPaug
Salarpuria Infinity,ChIJD7IZdK4VrjsR7D3xtYTSUz0
